;0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345;360;375;390;405;420;435;450;465;480;495;510;525;540;555;570;585;600;615;630;645;660;675;690;705;720;735;750;765;780;795;810;825;840;855;870;885;900;915
avg_gyro-alpha;278.843477249;281.162804604;281.718001366;284.910559654;284.748085976;273.824818611;266.085039139;269.819003105;264.699674606;251.102901459;252.746652603;255.832152367;245.732798576;235.558574677;250.619389534;275.959755898;279.763005257;251.519963264;212.391774654;229.268511295;275.131838799;271.65768528;245.965792656;247.012708664;264.832021713;273.677659988;265.373441696;247.708024025;242.608873367;251.724491119;258.141447067;257.045609474;253.391702652;250.718485832;250.496496201;254.013837814;250.836333275;243.324959755;237.10330677;238.468745232;242.07973671;235.813653946;218.168783188;210.249544144;213.571922302;219.141005516;219.979874611;216.679886818;221.307203293;235.590787888;250.70049572;253.588898659;246.162909508;246.489538193;263.091721535;277.957587242;284.205925941;289.311640739;286.573389053;287.416980743;290.279251099;288.823885091
avg_gyro-beta;-102.913945198;-101.632009983;-100.490903854;-101.946840763;-101.85792613;-101.270232916;-107.986957312;-107.935693264;-104.773229837;-110.1022048;-107.157445908;-99.4611082077;-98.0931997299;-105.347458363;-107.803694963;-99.8430151939;-96.4909729958;-101.25059247;-106.665431261;-108.519936323;-104.322780132;-98.4438724518;-100.974519968;-107.725600958;-103.239840031;-96.9355649948;-96.6677672863;-103.169237375;-108.173792601;-102.531110287;-96.3246340752;-94.0108401775;-92.7507162094;-100.010405064;-108.315142393;-103.889184475;-98.0630543232;-98.583823204;-102.636271477;-102.961826324;-98.5869684219;-96.5052082539;-102.457607031;-108.99492383;-106.709902048;-101.620010376;-96.5505051613;-98.1780841351;-105.465775251;-105.374097824;-97.0876662731;-94.2787854671;-96.7323813438;-102.36659646;-103.976800203;-104.081832647;-104.385219097;-100.935545683;-96.5496244431;-95.3782289028;-95.0002092997;-94.0660476685
avg_gyro-gamma;-1.2741119368;-1.71952954121;-1.46321305912;-2.07892077509;-3.53613156267;-4.81139161438;-7.85310283303;-9.83753892779;-5.25709409453;-4.98691746593;-7.37628758885;-5.51102831587;-4.28574472852;-3.5249083864;-5.4712027444;-7.44319533557;-6.0383829698;-5.94241830893;-5.09136134479;-6.48003571387;-5.58255225467;-1.00191283796;-1.18532057072;-2.93269638158;-4.95878967363;-3.31318052392;-1.41049053241;-0.619229237083;-3.36881697224;-4.25383774284;0.371829499491;1.67260207143;0.194735405501;-0.064181570895;-3.54849261744;-7.60182806291;-5.88957262784;-5.05232359469;-2.68637373019;-2.76331450511;-4.37785472535;-3.12628406473;-3.03489667177;-2.87989648455;-3.70385690243;-1.88175117411;0.426914954558;-0.157139806077;-0.549740015063;0.245647815202;1.59196066824;3.87451580017;-1.35638483019;-4.21228741854;-3.36181444116;-3.16024298128;-1.03877406055;1.52775052609;0.732645402197;0.220473233989;-0.57390816668;-2.09366673628
avg_ax;1.47784948349;0.959934711456;0.82815694809;0.897417068481;1.02490329742;1.5360751152;2.23112201691;1.77695178986;0.673090934753;1.91547060013;0.961774349213;0.0172719955444;0.477571964264;1.1916179657;1.59736680984;0.709252357483;-0.180088043213;0.225048542023;1.22042274475;1.36691093445;-0.0317621231079;-0.414220809937;0.85512638092;1.30684518814;0.882095336914;0.12575674057;-0.072829246521;0.718445301056;1.20387554169;0.568894863129;-0.203990936279;-0.266508579254;-0.37683391571;0.563378810883;1.8707280159;1.05248498917;-0.00356817245483;0.554798126221;0.951354026794;0.844094276428;0.45489358902;-0.189280986786;1.08190536499;1.24494075775;1.2455534935;0.200532913208;-0.507997989655;0.44508600235;0.994871139526;0.481860160828;-0.542323112488;-1.13133382797;-0.494513988495;1.26823091507;1.17629480362;0.411988735199;0.0583367347717;-0.256701469421;-0.289186954498;-0.251186847687;-0.247470092773;0.230440266927
avg_ay;-10.0662765503;-9.97617816925;-10.0803742409;-10.0417604446;-9.93266105652;-10.1686339378;-10.0423736572;-10.3966398239;-10.5112552643;-9.43252277374;-9.05496644974;-10.1533107758;-10.4830598831;-10.2054095268;-9.5342669487;-9.99701786041;-10.2152152061;-10.3561859131;-10.6798062325;-10.2084736824;-9.84256362915;-10.2103123665;-10.1784396172;-9.57594347;-9.79414129257;-10.1637296677;-10.2575063705;-9.81069040298;-9.48400640488;-10.3414764404;-11.4974346161;-11.0218114853;-10.2832479477;-9.77575445175;-9.53916931152;-9.86707925797;-10.2814106941;-10.3482179642;-9.69484949112;-9.87504768372;-9.87995195389;-10.2299265862;-10.1379885674;-9.89098262787;-9.34303569794;-9.48155450821;-10.2801837921;-9.95472621918;-9.88240337372;-10.4634461403;-10.0632123947;-9.27377748489;-9.08867692947;-9.45949172974;-10.1790528297;-10.6749014854;-10.816485405;-10.9507145882;-11.1149754524;-10.8005504608;-10.7196467082;-10.6039276123
avg_az;-1.84708356857;-1.64298295975;-1.40333366394;-1.79988956451;-1.77230930328;-1.7195982933;-1.95863485336;-2.66777896881;-3.20775794983;-3.22491884232;-2.35825681686;-1.07848930359;-0.97797203064;-1.54736995697;-1.73492145538;-1.45481920242;-1.30404233932;-1.02761793137;-0.303150653839;-1.44991636276;-2.16396188736;-1.06193971634;-0.551995277405;-1.51795005798;-2.19583463669;-1.47075510025;-1.36962366104;-1.63011312485;-2.01134681702;-1.68527555466;-1.0441660881;-0.98716545105;-1.1324262619;-1.8005027771;-2.87494373322;-2.70761966705;-1.31139850616;-1.4499168396;-2.04076528549;-2.14618682861;-1.96476507187;-2.00583076477;-2.44406461716;-2.56848669052;-2.999979496;-1.90286159515;-1.45175457001;-1.30097723007;-2.62058591843;-2.55193901062;-1.38801145554;-1.28871870041;-1.67975902557;-2.06773424149;-2.7922000885;-2.74194097519;-2.85716962814;-2.1290268898;-1.48117589951;-1.50569248199;-1.65732676188;-2.3725575765
min_gyro-alpha;273.110412598;277.847442627;278.961151123;278.961151123;270.058319092;259.729431152;259.729431152;261.442626953;245.713592529;243.273529053;243.273529053;241.145507812;220.106079102;219.934295654;219.934295654;248.913513184;259.34185791;185.599121094;175.361450195;175.361450195;232.342803955;244.200439453;231.642883301;231.642883301;233.310699463;265.208526611;241.924224854;236.409790039;236.409790039;239.806640625;251.114501953;250.061584473;244.6902771;244.642822266;244.642822266;245.931365967;240.742523193;228.383361816;228.383361816;228.383361816;236.520263672;219.913604736;200.536132812;200.536132812;205.401672363;210.133575439;214.370239258;213.194702148;213.194702148;218.402862549;232.583435059;247.094818115;237.896972656;236.612976074;236.612976074;268.544250488;269.63885498;280.20324707;279.18460083;279.18460083;281.762634277;281.762634277
min_gyro-beta;-110.539909363;-108.636749268;-108.444015503;-108.61541748;-108.61541748;-120.007087708;-122.718780518;-122.718780518;-116.20161438;-116.20161438;-116.20161438;-108.524116516;-111.8097229;-114.243644714;-114.243644714;-109.920471191;-100.456382751;-110.616195679;-111.629974365;-111.629974365;-109.353561401;-105.721168518;-112.011878967;-112.856781006;-112.856781006;-106.374969482;-107.910675049;-111.867485046;-112.512336731;-112.512336731;-104.451911926;-100.633743286;-102.256378174;-111.703788757;-112.93523407;-112.93523407;-104.787269592;-108.688926697;-108.688926697;-106.465888977;-105.266586304;-103.796340942;-112.684860229;-112.684860229;-112.530532837;-107.986907959;-103.660995483;-110.652236938;-112.905380249;-112.905380249;-111.131088257;-101.716125488;-104.861953735;-111.477470398;-111.477470398;-113.904747009;-113.904747009;-113.904747009;-104.726547241;-103.452667236;-102.393432617;-97.1560287476
min_gyro-gamma;-3.41559743881;-3.41559743881;-2.75337147713;-4.5866189003;-5.38955116272;-8.47241687775;-12.1740903854;-14.3495893478;-14.3495893478;-13.2778759003;-13.2778759003;-13.2778759003;-9.87218093872;-9.87218093872;-11.8103227615;-11.8103227615;-11.5070447922;-13.3545093536;-14.7395572662;-15.5817213058;-15.5817213058;-6.82762002945;-7.10409975052;-11.8431034088;-11.8431034088;-11.0168447495;-4.44384813309;-5.04713821411;-12.3373088837;-12.3373088837;-4.15033388138;0.488610297441;-3.24991941452;-3.24991941452;-12.6079349518;-13.1077213287;-13.1077213287;-10.5915822983;-10.5915822983;-9.24767017365;-9.24767017365;-6.24067592621;-6.07769393921;-6.05152082443;-5.70666790009;-5.70666790009;-3.68910360336;-4.89903497696;-5.94745731354;-5.94745731354;-5.94745731354;-1.16068208218;-10.4788885117;-10.4788885117;-9.35309314728;-7.75457334518;-7.75457334518;-0.551418244839;-1.8255456686;-1.8255456686;-5.11632108688;-5.11632108688
min_ax;-2.15060424805;-1.34646606445;-1.34646606445;-1.34646606445;-0.34619140625;-0.34619140625;-3.20973205566;-4.79840087891;-4.79840087891;-2.64094543457;-2.64094543457;-2.64094543457;-1.83679199219;-1.56221008301;-0.0912170410156;-2.95475769043;-2.95475769043;-1.58183288574;-2.20945739746;-2.20945739746;-2.20945739746;-1.40530395508;-1.40530395508;-1.28762817383;-3.7981262207;-3.7981262207;-1.58183288574;-1.58183288574;-2.87629699707;-4.89646911621;-4.89646911621;-7.32852172852;-7.32852172852;-3.5627746582;-1.42492675781;-7.701171875;-7.701171875;-3.033203125;-3.033203125;-4.38652038574;-4.38652038574;-4.38652038574;-2.7978515625;-0.954193115234;-0.954193115234;-5.21028137207;-5.21028137207;-3.36663818359;-1.32685852051;-6.32824707031;-6.32824707031;-3.5627746582;-3.5627746582;-2.58210754395;-1.28762817383;-4.21000671387;-4.26884460449;-4.26884460449;-3.91580200195;-3.4647064209;-2.05255126953;-2.05255126953
